Freq.	V(vout)
1.48251808514594e+002	(-9.70875192151852e-004dB,-9.05020558048493e-001°)
1.48593564228699e+002	(-9.71522797933710e-004dB,-9.07106810550075e-001°)
1.48936107771090e+002	(-9.72173392465268e-004dB,-9.09197872115350e-001°)
1.49279440957898e+002	(-9.72826989576237e-004dB,-9.11293753828656e-001°)
1.49623565609442e+002	(-9.73483603089587e-004dB,-9.13394466799869e-001°)
1.49968483550236e+002	(-9.74143246961384e-004dB,-9.15500022164471e-001°)
1.50314196609001e+002	(-9.74805935139987e-004dB,-9.17610431083596e-001°)
1.50660706618673e+002	(-9.75471681675030e-004dB,-9.19725704744098e-001°)
1.51008015416413e+002	(-9.76140500701988e-004dB,-9.21845854358601e-001°)
1.51356124843619e+002	(-9.76812406399742e-004dB,-9.23970891165580e-001°)
1.51705036745932e+002	(-9.77487412974188e-004dB,-9.26100826429382e-001°)
1.52054752973248e+002	(-9.78165534756602e-004dB,-9.28235671440332e-001°)
1.52405275379728e+002	(-9.78846786134209e-004dB,-9.30375437514757e-001°)
1.52756605823806e+002	(-9.79531181542463e-004dB,-9.32520135995059e-001°)
1.53108746168202e+002	(-9.80218735494944e-004dB,-9.34669778249774e-001°)
1.53461698279928e+002	(-9.80909462530315e-004dB,-9.36824375673638e-001°)
1.53815464030302e+002	(-9.81603377314555e-004dB,-9.38983939687634e-001°)
1.54170045294954e+002	(-9.82300494558013e-004dB,-9.41148481739066e-001°)
1.54525443953840e+002	(-9.83000829047239e-004dB,-9.43318013301612e-001°)
1.54881661891247e+002	(-9.83704395603508e-004dB,-9.45492545875386e-001°)
1.55238700995807e+002	(-9.84411209175413e-004dB,-9.47672090987001e-001°)
1.55596563160506e+002	(-9.85121284711551e-004dB,-9.49856660189626e-001°)
1.55955250282694e+002	(-9.85834637284944e-004dB,-9.52046265063052e-001°)
1.56314764264094e+002	(-9.86551281990802e-004dB,-9.54240917213747e-001°)
1.56675107010813e+002	(-9.87271234049722e-004dB,-9.56440628274926e-001°)
1.57036280433354e+002	(-9.87994508725708e-004dB,-9.58645409906607e-001°)
1.57398286446620e+002	(-9.88721121308814e-004dB,-9.60855273795668e-001°)
1.57761126969933e+002	(-9.89451087246307e-004dB,-9.63070231655917e-001°)
